[2019-10-12 20:06:05,889], ## Epoch 173/500 Loss:92.150, MAE:156.99, MSE:239.04, Best MAE:113.98
[2019-10-12 20:06:55,554], ## Epoch 174/500 Loss:89.495, MAE:132.59, MSE:204.77, Best MAE:113.98
[2019-10-12 20:07:45,297], ## Epoch 175/500 Loss:84.668, MAE:176.52, MSE:248.03, Best MAE:113.98
[2019-10-12 20:08:34,521], ## Epoch 176/500 Loss:83.684, MAE:142.38, MSE:213.17, Best MAE:113.98
[2019-10-12 20:09:24,508], ## Epoch 177/500 Loss:89.527, MAE:128.44, MSE:201.85, Best MAE:113.98
[2019-10-12 20:10:14,867], ## Epoch 178/500 Loss:90.530, MAE:134.16, MSE:211.18, Best MAE:113.98
[2019-10-12 20:11:04,950], ## Epoch 179/500 Loss:85.964, MAE:121.48, MSE:199.43, Best MAE:113.98
[2019-10-12 20:11:54,653], ## Epoch 180/500 Loss:87.095, MAE:115.96, MSE:181.92, Best MAE:113.98
[2019-10-12 20:12:44,212], ## Epoch 181/500 Loss:83.215, MAE:114.49, MSE:185.61, Best MAE:113.98
[2019-10-12 20:13:33,877], ## Epoch 182/500 Loss:81.202, MAE:115.24, MSE:181.56, Best MAE:113.98
[2019-10-12 20:14:23,582], ## Epoch 183/500 Loss:85.250, MAE:133.21, MSE:198.27, Best MAE:113.98
[2019-10-12 20:15:12,955], ## Epoch 184/500 Loss:82.361, MAE:121.48, MSE:199.15, Best MAE:113.98
[2019-10-12 20:16:02,545], ## Epoch 185/500 Loss:87.532, MAE:120.39, MSE:182.50, Best MAE:113.98
[2019-10-12 20:16:52,602], ## Epoch 186/500 Loss:79.432, MAE:124.78, MSE:196.91, Best MAE:113.98
[2019-10-12 20:17:42,324], ## Epoch 187/500 Loss:81.332, MAE:141.22, MSE:203.60, Best MAE:113.98
[2019-10-12 20:18:32,746], ## Epoch 188/500 Loss:82.904, MAE:160.53, MSE:232.08, Best MAE:113.98
[2019-10-12 20:19:22,980], ## Epoch 189/500 Loss:94.940, MAE:147.74, MSE:216.89, Best MAE:113.98
[2019-10-12 20:20:13,009], ## Epoch 190/500 Loss:87.287, MAE:134.46, MSE:212.72, Best MAE:113.98
[2019-10-12 20:21:02,663], ## Epoch 191/500 Loss:91.034, MAE:162.70, MSE:226.63, Best MAE:113.98
[2019-10-12 20:21:52,008], ## Epoch 192/500 Loss:90.854, MAE:120.03, MSE:184.20, Best MAE:113.98
[2019-10-12 20:22:41,338], ## Epoch 193/500 Loss:75.738, MAE:155.14, MSE:219.89, Best MAE:113.98
[2019-10-12 20:23:30,394], ## Epoch 194/500 Loss:92.320, MAE:122.29, MSE:191.14, Best MAE:113.98
[2019-10-12 20:24:19,566], ## Epoch 195/500 Loss:85.290, MAE:157.07, MSE:237.07, Best MAE:113.98
[2019-10-12 20:25:09,326], ## Epoch 196/500 Loss:93.636, MAE:116.93, MSE:187.73, Best MAE:113.98
[2019-10-12 20:25:58,705], ## Epoch 197/500 Loss:77.332, MAE:111.04, MSE:174.46, Best MAE:113.98
[2019-10-12 20:26:49,157], ## Epoch 198/500 Loss:80.020, MAE:176.39, MSE:248.27, Best MAE:111.04
[2019-10-12 20:27:38,861], ## Epoch 199/500 Loss:91.872, MAE:121.45, MSE:190.51, Best MAE:111.04
[2019-10-12 20:28:28,392], ## Epoch 200/500 Loss:85.783, MAE:125.43, MSE:201.54, Best MAE:111.04
[2019-10-12 20:29:18,342], ## Epoch 201/500 Loss:78.736, MAE:134.48, MSE:205.14, Best MAE:111.04
[2019-10-12 20:30:07,736], ## Epoch 202/500 Loss:91.550, MAE:116.04, MSE:190.58, Best MAE:111.04
[2019-10-12 20:30:57,052], ## Epoch 203/500 Loss:91.652, MAE:149.16, MSE:218.64, Best MAE:111.04
[2019-10-12 20:31:47,110], ## Epoch 204/500 Loss:80.018, MAE:154.54, MSE:220.89, Best MAE:111.04
[2019-10-12 20:32:36,603], ## Epoch 205/500 Loss:86.731, MAE:123.55, MSE:191.18, Best MAE:111.04
[2019-10-12 20:33:26,017], ## Epoch 206/500 Loss:79.245, MAE:124.93, MSE:202.36, Best MAE:111.04
[2019-10-12 20:34:15,150], ## Epoch 207/500 Loss:81.205, MAE:118.13, MSE:183.16, Best MAE:111.04
[2019-10-12 20:35:04,617], ## Epoch 208/500 Loss:82.088, MAE:124.81, MSE:200.13, Best MAE:111.04
[2019-10-12 20:35:54,652], ## Epoch 209/500 Loss:76.996, MAE:117.30, MSE:192.61, Best MAE:111.04
[2019-10-12 20:36:43,970], ## Epoch 210/500 Loss:82.840, MAE:113.03, MSE:179.44, Best MAE:111.04
[2019-10-12 20:37:33,461], ## Epoch 211/500 Loss:82.425, MAE:114.10, MSE:178.17, Best MAE:111.04
[2019-10-12 20:38:22,827], ## Epoch 212/500 Loss:81.471, MAE:119.96, MSE:187.90, Best MAE:111.04
[2019-10-12 20:39:11,889], ## Epoch 213/500 Loss:85.124, MAE:129.39, MSE:204.21, Best MAE:111.04
[2019-10-12 20:40:01,310], ## Epoch 214/500 Loss:84.859, MAE:115.57, MSE:181.01, Best MAE:111.04
[2019-10-12 20:40:50,612], ## Epoch 215/500 Loss:79.633, MAE:109.06, MSE:166.46, Best MAE:111.04
[2019-10-12 20:41:40,549], ## Epoch 216/500 Loss:80.644, MAE:119.43, MSE:192.34, Best MAE:109.06
[2019-10-12 20:42:29,330], ## Epoch 217/500 Loss:83.145, MAE:119.52, MSE:178.02, Best MAE:109.06
[2019-10-12 20:43:18,665], ## Epoch 218/500 Loss:79.096, MAE:112.71, MSE:178.23, Best MAE:109.06
[2019-10-12 20:44:08,213], ## Epoch 219/500 Loss:78.326, MAE:114.56, MSE:173.68, Best MAE:109.06
[2019-10-12 20:44:57,951], ## Epoch 220/500 Loss:81.474, MAE:120.44, MSE:186.56, Best MAE:109.06
[2019-10-12 20:45:48,073], ## Epoch 221/500 Loss:92.860, MAE:129.37, MSE:194.39, Best MAE:109.06
[2019-10-12 20:46:37,294], ## Epoch 222/500 Loss:83.382, MAE:117.75, MSE:183.55, Best MAE:109.06
[2019-10-12 20:47:26,141], ## Epoch 223/500 Loss:83.530, MAE:119.79, MSE:182.13, Best MAE:109.06
[2019-10-12 20:48:15,226], ## Epoch 224/500 Loss:79.858, MAE:201.39, MSE:288.77, Best MAE:109.06
[2019-10-12 20:49:04,187], ## Epoch 225/500 Loss:84.848, MAE:112.46, MSE:173.32, Best MAE:109.06
[2019-10-12 20:49:53,025], ## Epoch 226/500 Loss:84.981, MAE:126.92, MSE:190.63, Best MAE:109.06
[2019-10-12 20:50:42,326], ## Epoch 227/500 Loss:80.698, MAE:116.32, MSE:183.41, Best MAE:109.06
[2019-10-12 20:51:31,595], ## Epoch 228/500 Loss:81.402, MAE:115.33, MSE:190.02, Best MAE:109.06
[2019-10-12 20:52:20,539], ## Epoch 229/500 Loss:89.301, MAE:179.34, MSE:249.10, Best MAE:109.06
